PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
83,1,1,26,901,31,
85,2,1,26,901,31,
116,2,2,39,903,31,
68,1,1,28,904,31,
155,2,1,31,902,31,
133,1,1,30,902,31,
113,1,1,62,901,31,
121,2,1,55,901,31,
114,2,1,35,904,31,
135,2,1,22,901,31,
147,1,1,23,901,31,
38,1,1,62,901,31,
38,2,1,55,901,31,
186,1,1,46,901,31,
144,1,1,25,901,31,
160,2,1,23,901,31,
95,1,1,27,901,31,
106,2,1,23,901,31,
109,1,1,41,901,31,
113,2,1,35,901,31,
120,1,1,43,901,31,
126,2,1,42,901,31,
121,1,1,18,901,31,
146,2,8,20,902,31,
196,1,1,20,902,31,
94,2,1,94,904,31,
130,1,1,52,903,31,
114,1,1,55,902,31,
122,2,1,62,902,31,
109,2,1,28,902,31,
124,1,1,21,902,31,
117,1,1,74,904,31,
143,2,1,38,904,31,
136,1,1,41,904,31,
154,1,1,70,903,31,
97,1,1,34,901,31,
82,2,1,29,901,31,
130,2,1,36,901,31,
120,1,1,34,901,31,
87,2,1,86,902,31,
115,1,1,56,904,31,
122,2,1,57,904,31,
109,1,1,29,901,31,
130,1,1,31,901,31,
67,1,8,22,904,31,
116,1,1,62,901,31,
121,2,1,57,901,31,
106,1,1,25,901,31,
104,1,1,57,902,31,
109,2,1,49,902,31,
106,1,1,49,902,31,
115,2,1,47,902,31,
108,1,1,47,902,31,
115,2,1,37,902,31,
129,2,1,39,904,31,
134,1,1,54,904,31,
119,1,1,39,902,31,
127,2,1,40,902,31,
102,1,1,34,901,31,
119,2,1,34,901,31,
353,1,1,23,904,31,
332,2,1,23,904,31,
118,1,1,44,904,31,
124,2,1,40,904,31,
205,1,1,53,904,31,
120,1,1,56,901,31,
121,1,1,55,901,31,
110,1,1,42,902,31,
116,2,1,42,902,31,
133,1,1,77,902,31,
121,2,1,73,902,31,
121,1,1,40,901,31,
120,2,1,60,902,31,
113,1,1,54,902,31,
113,2,1,53,902,31,
109,2,1,22,902,31,
113,1,1,21,902,31,
373,1,1,38,901,31,
358,2,1,27,903,31,
523,1,1,48,902,31,
570,2,1,55,902,31,
133,1,1,50,902,31,
118,1,1,44,901,31,
121,2,1,46,901,31,
102,2,1,20,903,31,
113,1,1,24,903,31,
116,2,1,54,901,31,
120,1,1,53,901,31,
115,1,1,30,901,31,
108,1,1,34,901,31,
121,2,1,35,901,31,
358,1,1,20,902,31,
416,1,1,23,902,31,
419,1,1,21,902,31,
110,1,1,60,904,31,
145,2,1,57,901,31,
139,1,1,63,901,31,
97,1,1,74,902,31,
103,2,1,73,902,31,
126,2,1,64,904,31,
109,1,1,66,904,31,
115,1,1,42,902,31,
156,1,1,87,901,31,
125,2,1,19,903,31,
122,1,1,54,902,31,
123,2,1,51,902,31,
108,2,1,79,902,31,
137,1,6,61,901,31,
140,2,6,56,901,31,
87,2,6,31,901,31,
113,1,8,42,904,31,
129,2,8,43,904,31,
118,1,1,80,903,31,
123,2,1,60,904,31,
115,1,1,62,902,31,
128,2,1,68,901,31,
139,1,1,78,901,31,
