PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
162,1,8,40,903,31,
119,2,8,40,903,31,
191,1,8,40,903,31,
150,2,1,54,903,31,
127,1,1,57,903,31,
102,2,1,50,901,31,
125,1,1,49,901,31,
81,1,1,57,903,31,
42,2,9,54,903,31,
64,1,5,24,903,31,
224,1,8,37,904,31,
233,2,8,35,904,31,
102,1,8,18,904,31,
106,1,1,34,904,31,
135,2,1,34,904,31,
188,1,2,58,901,31,
248,1,8,66,904,31,
97,2,1,32,902,31,
101,1,2,34,902,31,
106,2,1,57,902,31,
145,2,1,73,901,31,
194,2,9,27,901,31,
236,2,1,30,901,31,
161,1,1,57,903,31,
173,2,1,55,903,31,
85,1,1,62,904,31,
108,1,1,24,902,31,
63,1,1,43,904,31,
93,1,1,54,902,31,
112,2,1,51,902,31,
205,2,9,18,902,31,
142,2,9,22,902,31,
67,1,1,51,904,31,
51,2,1,47,904,31,
146,2,1,24,901,31,
219,2,1,21,901,31,
93,1,6,19,904,31,
252,2,1,39,903,31,
211,1,1,40,903,31,
87,1,1,56,904,31,
90,2,1,48,904,31,
98,2,1,23,904,31,
634,2,1,39,903,31,
106,2,1,34,904,31,
116,1,1,65,902,31,
125,2,1,63,902,31,
56,2,1,85,901,31,
151,1,2,49,903,31,
94,2,2,58,904,31,
71,2,1,59,903,31,
107,2,1,32,903,31,
76,1,1,21,903,31,
83,1,1,25,903,31,
106,1,1,19,903,31,
154,2,1,51,903,31,
65,2,1,21,903,31,
88,1,1,71,901,31,
75,2,1,70,901,31,
79,2,1,82,901,31,
60,2,1,37,904,31,
59,1,2,18,904,31,
146,2,1,66,902,31,
157,1,1,73,902,31,
63,2,1,35,902,31,
73,1,1,34,902,31,
44,1,6,69,901,31,
62,2,6,68,901,31,
115,1,1,59,901,31,
127,2,1,60,901,31,
122,2,1,58,904,31,
96,1,1,26,901,31,
114,2,1,31,901,31,
257,2,1,39,901,31,
229,1,1,21,904,31,
198,2,1,21,904,31,
619,2,1,42,901,31,
544,1,1,35,901,31,
83,1,1,37,904,31,
118,2,1,34,904,31,
115,1,1,51,903,31,
102,2,1,49,903,31,
326,1,1,25,904,31,
73,2,1,23,904,31,
41,2,1,37,901,31,
36,1,1,37,901,31,
112,1,1,69,902,31,
103,2,1,67,902,31,
39,1,2,87,903,31,
92,2,2,55,903,31,
78,1,1,68,904,31,
105,2,8,42,903,31,
6,2,1,37,904,31,
98,1,1,52,903,31,
88,2,1,76,903,31,
96,1,1,31,901,31,
103,2,1,31,901,31,
100,1,1,37,902,31,
101,2,1,35,902,31,
103,1,1,54,902,31,
125,2,1,52,902,31,
195,2,1,20,903,31,
302,2,1,21,903,31,
65,2,2,56,903,31,
98,2,2,30,903,31,
75,2,1,86,902,31,
126,2,1,58,902,31,
127,2,1,56,902,31,
127,1,1,55,902,31,
322,2,1,69,901,31,
104,1,1,40,902,31,
103,2,1,38,902,31,
128,1,1,31,902,31,
204,1,1,27,902,31,
67,2,1,23,901,31,
71,1,1,23,901,31,
65,2,1,56,904,31,
96,2,1,26,904,31,
37,1,1,66,904,31,
116,1,1,32,902,31,
91,2,1,31,902,31,
89,2,1,48,904,31,
135,1,1,51,904,31,
144,2,1,18,904,31,
61,2,1,53,901,31,
76,1,1,53,901,31,
185,2,1,27,903,31,
331,1,1,31,903,31,
95,1,1,56,901,31,
84,2,1,52,901,31,
102,1,1,18,901,31,
214,1,2,24,903,31,
237,1,2,34,903,31,
5,2,1,26,903,31,
110,2,1,51,902,31,
89,2,1,49,904,31,
119,1,8,66,904,31,
29,2,1,26,904,31,
532,1,1,49,904,31,
409,2,1,42,904,31,
296,1,1,20,904,31,
183,1,1,19,904,31,
329,1,2,39,904,31,
366,2,2,43,904,31,
392,1,1,30,901,31,
121,1,1,32,904,31,
151,2,1,30,904,31,
68,1,1,53,904,31,
108,2,1,53,904,31,
95,2,1,94,902,31,
147,2,1,59,901,31,
126,1,1,60,901,31,
126,2,1,36,901,31,
31,2,1,20,903,31,
126,1,1,48,902,31,
156,2,1,45,902,31,
85,1,1,43,904,31,
94,2,1,39,904,31,
118,1,1,63,901,31,
65,1,1,42,901,31,
93,2,1,39,901,31,
75,2,1,26,904,31,
76,1,1,26,904,31,
137,2,2,51,901,31,
266,2,1,22,903,31,
415,2,1,20,903,31,
132,1,1,48,902,31,
166,2,1,47,902,31,
132,2,1,21,902,31,
74,2,1,66,901,31,
70,2,1,85,901,31,
85,1,1,31,904,31,
268,2,6,26,903,31,
83,1,1,43,904,31,
91,2,1,41,904,31,
106,1,1,54,901,31,
101,2,1,48,901,31,
101,1,9,32,902,31,
102,2,6,32,902,31,
93,1,2,56,903,31,
66,2,8,43,903,31,
96,1,8,58,904,31,
176,2,8,21,904,31,
68,2,8,18,904,31,
75,2,8,53,904,31,
467,2,1,29,902,31,
59,1,1,51,901,31,
46,2,1,52,901,31,
68,1,1,23,901,31,
88,2,1,28,903,31,
123,2,1,31,904,31,
112,1,9,37,904,31,
79,1,1,61,901,31,
67,2,1,53,901,31,
155,2,1,61,901,31,
241,1,2,42,903,31,
85,1,2,39,901,31,
109,2,2,38,901,31,
13,1,1,89,904,31,
151,2,1,63,901,31,
426,2,1,94,901,31,
129,1,1,71,901,31,
113,2,1,69,901,31,
287,1,1,36,901,31,
319,2,1,39,901,31,
159,2,6,32,901,31,
102,1,2,59,903,31,
177,2,2,46,903,31,
120,1,1,53,902,31,
128,2,1,55,902,31,
92,2,1,41,902,31,
91,1,1,41,902,31,
