PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
94,2,1,75,902,31,
96,2,1,19,903,31,
10,2,6,21,904,31,
2,1,1,22,904,31,
15,1,1,18,901,31,
12,2,1,20,904,31,
43,1,1,19,903,31,
109,1,1,19,903,31,
52,2,1,22,903,31,
35,1,1,21,904,31,
10,2,2,19,904,31,
10,2,2,19,904,31,
67,2,1,20,903,31,
99,1,1,21,904,31,
189,1,1,27,903,31,
70,2,1,22,904,31,
12,1,5,53,904,31,
49,1,1,19,903,31,
112,1,1,20,904,31,
38,2,6,19,903,31,
116,1,1,86,904,31,
99,1,1,19,903,31,
150,2,1,49,904,31,
104,1,8,20,904,31,
4,1,1,19,904,31,
31,2,2,74,903,31,
13,1,2,66,904,31,
9,2,1,20,904,31,
3,1,1,19,904,31,
90,2,1,75,901,31,
99,1,2,51,903,31,
54,2,6,22,903,31,
84,1,1,80,904,31,
102,2,1,18,903,31,
113,1,1,23,903,31,
1,1,2,51,902,31,
31,2,1,95,902,31,
33,1,1,19,903,31,
100,1,8,45,904,31,
24,1,1,18,903,31,
26,1,1,36,903,31,
61,1,6,19,903,31,
23,1,2,78,903,31,
5,1,8,26,904,31,
10,2,1,95,901,31,
96,1,1,48,903,31,
77,1,2,51,903,31,
93,1,9,28,903,31,
16,1,1,34,901,31,
103,1,2,48,904,31,
11,2,2,24,904,31,
84,1,1,72,904,31,
79,1,2,32,903,31,
114,1,1,19,903,31,
192,1,1,31,903,31,
25,2,1,20,903,31,
92,2,1,18,901,31,
114,1,1,78,901,31,
87,2,1,19,904,31,
78,1,1,30,903,31,
56,2,1,90,904,31,
97,1,1,19,903,31,
17,2,1,71,904,31,
217,2,1,40,904,31,
224,1,1,32,901,31,
58,1,1,33,901,31,
65,2,1,35,901,31,
199,1,1,32,904,31,
146,2,1,36,904,31,
45,2,1,48,901,31,
40,1,1,42,901,31,
237,1,2,23,903,31,
276,2,2,24,903,31,
76,2,1,36,903,31,
65,1,1,53,903,31,
110,2,1,32,901,31,
142,2,1,30,901,31,
132,2,1,27,901,31,
54,2,1,66,901,31,
63,1,1,73,901,31,
129,2,1,51,901,31,
110,1,1,56,901,31,
300,1,8,50,903,31,
100,2,1,50,902,31,
94,1,1,62,902,31,
110,2,1,60,902,31,
147,1,1,71,903,31,
233,2,1,65,903,31,
156,2,9,72,901,31,
110,1,1,71,901,31,
177,2,1,43,901,31,
144,1,1,42,901,31,
258,2,1,41,903,31,
242,1,6,43,903,31,
93,2,1,83,904,31,
110,2,1,57,904,31,
387,2,1,39,902,31,
263,1,1,38,902,31,
137,2,2,37,903,31,
326,1,1,46,901,31,
258,1,2,34,901,31,
282,2,2,31,901,31,
71,1,1,40,902,31,
73,2,1,77,903,31,
105,2,1,66,901,31,
119,1,1,69,901,31,
101,1,1,63,901,31,
105,2,1,67,901,31,
88,2,1,18,901,31,
116,2,1,55,901,31,
132,2,1,64,904,31,
107,1,1,74,902,31,
89,2,1,80,902,31,
212,2,1,66,901,31,
76,1,1,64,901,31,
94,2,1,56,901,31,
108,2,1,58,901,31,
106,1,1,57,901,31,
508,1,1,72,904,31,
117,1,1,60,903,31,
143,2,1,54,903,31,
188,2,1,36,901,31,
134,1,1,58,901,31,
71,2,1,79,901,31,
87,1,1,39,903,31,
131,2,1,39,903,31,
123,1,1,41,902,31,
182,2,1,40,902,31,
160,1,8,29,904,31,
92,1,1,88,902,31,
66,2,1,86,902,31,
168,1,2,60,903,31,
178,2,2,28,903,31,
66,2,1,62,902,31,
129,1,1,58,904,31,
137,2,1,23,904,31,
85,1,1,80,901,31,
97,2,1,65,901,31,
68,2,1,61,901,31,
119,2,1,45,901,31,
100,1,1,42,901,31,
103,2,1,42,901,31,
85,1,1,37,901,31,
86,1,1,79,904,31,
