PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
92,2,1,55,903,31,
104,1,1,59,903,31,
151,1,1,40,901,31,
166,2,1,42,901,31,
127,1,1,56,902,31,
100,1,1,35,904,31,
112,2,1,36,904,31,
99,2,1,61,901,31,
101,1,1,65,901,31,
215,1,1,46,901,31,
94,2,1,84,904,31,
114,1,1,40,901,31,
126,2,1,36,901,31,
108,1,1,32,901,31,
86,2,1,28,901,31,
167,1,2,83,903,31,
85,2,1,18,904,31,
105,1,1,65,902,31,
108,2,1,65,902,31,
81,2,2,44,903,31,
116,2,1,39,904,31,
166,1,1,34,904,31,
288,2,1,25,902,31,
354,1,1,26,902,31,
150,2,1,23,901,31,
165,1,1,23,901,31,
101,1,1,85,901,31,
82,2,1,82,901,31,
102,1,1,23,902,31,
82,2,1,29,901,31,
103,1,1,30,901,31,
107,1,1,73,904,31,
113,2,1,47,904,31,
218,2,1,33,903,31,
101,2,1,22,904,31,
134,1,1,87,902,31,
89,2,1,82,904,31,
123,1,9,60,901,31,
124,2,9,58,901,31,
85,2,1,23,904,31,
131,1,2,44,903,31,
143,2,1,40,903,31,
123,1,1,41,902,31,
132,2,1,40,902,31,
141,2,1,88,904,31,
145,1,1,35,901,31,
119,2,1,29,901,31,
110,1,1,41,904,31,
225,2,2,67,903,31,
68,2,2,68,903,31,
125,2,1,72,902,31,
113,2,1,20,903,31,
110,1,1,54,903,31,
114,2,1,52,903,31,
110,2,1,69,902,31,
278,2,1,26,901,31,
358,1,1,28,901,31,
143,2,1,65,901,31,
143,1,1,65,901,31,
119,1,1,59,903,31,
121,2,1,50,903,31,
101,2,1,24,903,31,
101,2,1,24,903,31,
105,1,1,54,904,31,
101,1,1,55,901,31,
108,2,1,53,901,31,
97,2,1,86,901,31,
524,1,2,48,903,31,
269,2,2,41,903,31,
107,1,1,59,902,31,
105,2,1,57,902,31,
136,1,6,77,902,31,
139,2,6,74,902,31,
91,2,1,75,901,31,
115,2,1,68,903,31,
132,2,1,42,903,31,
101,2,1,28,903,31,
90,1,1,24,901,31,
103,2,1,61,902,31,
112,1,1,64,902,31,
106,2,1,45,901,31,
125,1,1,45,901,31,
93,2,1,75,902,31,
260,2,3,23,904,31,
327,1,2,38,904,31,
130,2,3,45,901,31,
160,1,1,50,901,31,
133,2,9,57,904,31,
484,1,1,47,904,31,
460,2,1,41,904,31,
115,1,1,76,904,31,
114,2,1,51,902,31,
85,2,1,25,904,31,
110,1,1,54,903,31,
144,2,1,56,901,31,
154,1,1,59,901,31,
107,1,1,60,903,31,
99,2,1,58,903,31,
106,1,1,36,901,31,
114,2,1,35,901,31,
110,1,1,70,902,31,
112,2,1,68,902,31,
164,2,1,54,904,31,
109,1,9,74,903,31,
373,1,2,30,903,31,
375,2,1,51,902,31,
370,1,1,55,902,31,
357,1,1,23,902,31,
121,1,1,37,904,31,
135,2,1,37,904,31,
112,1,1,41,901,31,
121,2,1,40,901,31,
126,1,1,64,903,31,
119,2,1,65,901,31,
121,1,1,67,901,31,
126,2,1,45,901,31,
134,1,1,41,901,31,
108,2,1,21,901,31,
114,1,1,63,904,31,
187,1,1,42,903,31,
191,2,1,39,903,31,
264,2,1,26,903,31,
292,1,9,31,903,31,
248,1,2,31,902,31,
246,2,2,30,902,31,
135,1,2,71,903,31,
70,2,2,71,903,31,
108,2,1,46,903,31,
186,1,2,45,903,31,
165,2,2,20,903,31,
91,2,1,86,902,31,
121,1,1,50,901,31,
119,2,1,49,901,31,
112,2,1,21,901,31,
137,2,1,18,901,31,
6,2,2,29,903,31,
160,1,1,52,902,31,
181,2,1,43,902,31,
114,2,1,51,901,31,
95,2,1,21,901,31,
123,1,1,76,901,31,
99,2,1,75,901,31,
108,1,1,36,901,31,
157,2,1,38,901,31,
147,1,1,37,901,31,
325,2,1,31,904,31,
110,2,1,33,903,31,
114,1,1,36,902,31,
60,2,1,64,904,31,
112,1,1,51,902,31,
119,2,1,50,902,31,
104,2,1,26,902,31,
104,2,1,77,902,31,
120,1,1,31,902,31,
108,2,1,31,902,31,
130,1,1,54,904,31,
148,2,1,51,904,31,
525,2,1,65,904,31,
117,2,1,38,902,31,
110,1,1,38,902,31,
112,2,1,20,902,31,
140,1,1,18,902,31,
99,2,1,19,903,31,
112,2,1,32,902,31,
125,1,1,35,902,31,
110,1,1,51,901,31,
112,2,1,68,903,31,
116,1,1,76,902,31,
110,2,1,68,902,31,
119,2,1,54,904,31,
114,1,1,57,904,31,
112,1,8,69,903,31,
108,2,8,61,903,31,
110,1,1,29,901,31,
95,2,1,29,901,31,
313,2,1,18,901,31,
100,2,1,83,904,31,
136,2,1,52,904,31,
96,2,1,27,904,31,
114,1,1,28,904,31,
363,1,1,29,902,31,
301,2,1,28,902,31,
121,2,1,23,901,31,
116,1,1,50,901,31,
114,2,1,49,901,31,
110,2,1,25,901,31,
117,1,1,22,901,31,
127,1,1,61,902,31,
110,2,1,25,902,31,
108,2,1,68,904,31,
108,1,1,42,901,31,
88,2,1,29,901,31,
112,1,1,79,902,31,
40,2,1,50,901,31,
117,2,1,34,904,31,
128,1,1,35,904,31,
111,2,1,20,903,31,
105,1,1,39,901,31,
88,2,1,29,901,31,
122,1,1,72,904,31,
129,2,1,71,904,31,
35,1,1,79,901,31,
126,2,2,51,901,31,
131,2,1,29,904,31,
165,1,1,31,904,31,
172,2,1,49,901,31,
163,1,2,47,903,31,
54,2,9,80,904,31,
132,1,1,40,904,31,
171,1,9,48,904,31,
101,2,1,24,904,31,
135,1,9,38,904,31,
118,2,1,67,902,31,
119,2,1,95,901,31,
97,1,2,37,901,31,
81,2,2,40,901,31,
103,2,1,57,902,31,
343,1,1,40,901,31,
146,2,1,39,901,31,
152,1,1,37,901,31,
122,2,1,61,904,31,
95,2,1,40,903,31,
104,1,1,52,901,31,
104,2,1,48,901,31,
121,1,1,55,901,31,
128,2,1,53,901,31,
96,1,1,54,902,31,
112,2,1,72,903,31,
119,1,1,50,903,31,
334,1,1,33,901,31,
304,2,1,31,901,31,
114,1,1,60,901,31,
111,2,1,57,901,31,
101,2,1,29,901,31,
105,1,1,67,904,31,
108,2,1,59,904,31,
116,1,2,56,904,31,
109,1,1,41,902,31,
119,2,1,39,902,31,
86,2,9,30,901,31,
90,1,2,32,901,31,
285,2,1,31,901,31,
99,1,1,69,904,31,
119,2,1,84,901,31,
90,2,1,76,902,31,
173,2,1,58,904,31,
119,1,1,69,901,31,
122,2,1,66,901,31,
121,1,1,40,903,31,
67,1,8,53,904,31,
169,1,1,33,904,31,
122,2,8,36,904,31,
145,1,1,67,902,31,
148,2,1,65,902,31,
101,1,1,51,902,31,
110,2,1,50,902,31,
128,1,1,45,903,31,
297,1,1,57,904,31,
290,2,1,46,904,31,
288,1,1,21,904,31,
138,2,1,44,902,31,
154,1,1,38,902,31,
165,2,1,38,902,31,
132,1,1,46,902,31,
132,2,1,44,902,31,
132,2,1,18,902,31,
115,2,1,67,901,31,
162,2,1,36,902,31,
156,1,1,38,902,31,
105,1,1,50,902,31,
101,2,1,45,902,31,
118,1,1,26,902,31,
105,1,1,20,902,31,
154,1,1,77,901,31,
148,2,1,72,901,31,
152,2,1,46,901,31,
176,1,1,25,904,31,
105,1,1,31,902,31,
94,2,1,30,902,31,
103,1,1,56,901,31,
110,2,1,54,901,31,
116,1,6,42,902,31,
121,2,6,39,902,31,
163,1,1,32,901,31,
148,2,1,30,901,31,
115,1,1,82,901,31,
93,2,1,78,901,31,
109,1,1,53,904,31,
112,2,1,48,904,31,
127,2,1,19,904,31,
107,1,1,62,902,31,
103,2,1,62,902,31,
93,2,1,55,902,31,
98,1,1,52,902,31,
33,2,1,61,902,31,
134,2,1,82,902,31,
105,2,1,52,904,31,
96,1,1,54,904,31,
66,2,2,67,903,31,
121,1,1,53,904,31,
124,2,1,47,904,31,
2,1,1,64,903,31,
128,2,1,64,904,31,
207,1,2,46,904,31,
84,2,2,18,904,31,
112,1,1,56,902,31,
108,2,1,56,902,31,
109,1,1,20,902,31,
101,1,1,24,901,31,
123,1,1,38,903,31,
103,2,1,33,903,31,
143,1,1,45,901,31,
145,2,1,42,901,31,
112,2,1,52,902,31,
107,1,1,52,902,31,
94,2,1,20,902,31,
257,2,1,46,904,31,
121,1,1,53,901,31,
86,2,7,35,901,31,
105,1,2,41,901,31,
84,2,9,19,901,31,
378,1,1,26,903,31,
408,1,1,37,903,31,
522,2,1,86,904,31,
108,2,1,30,904,31,
112,1,1,29,904,31,
90,2,1,77,902,31,
172,1,1,84,902,31,
136,2,1,82,902,31,
113,1,1,74,902,31,
114,2,1,74,902,31,
196,2,1,36,904,31,
110,1,1,33,901,31,
110,1,1,35,901,31,
105,2,1,58,902,31,
112,1,1,71,902,31,
185,1,1,32,903,31,
98,2,1,28,904,31,
253,2,2,46,903,31,
525,1,2,45,903,31,
583,1,2,26,903,31,
394,1,2,18,903,31,
96,1,1,28,904,31,
88,2,1,24,904,31,
115,1,1,65,903,31,
147,1,2,66,903,31,
122,2,1,44,904,31,
121,1,1,45,904,31,
112,2,1,50,903,31,
86,2,1,78,903,31,
329,1,2,32,901,31,
437,1,2,18,901,31,
101,2,1,56,902,31,
90,2,1,20,902,31,
110,2,1,18,902,31,
145,2,1,45,903,31,
123,2,1,26,903,31,
130,2,1,24,903,31,
123,2,1,50,902,31,
119,1,1,52,902,31,
117,1,8,40,904,31,
113,2,8,39,904,31,
112,1,1,64,901,31,
108,2,1,60,901,31,
107,1,1,55,902,31,
98,2,1,48,902,31,
100,1,1,44,902,31,
107,2,1,43,902,31,
116,1,1,60,902,31,
110,2,1,57,902,31,
125,1,1,25,902,31,
101,2,1,67,901,31,
101,1,1,71,901,31,
130,1,1,33,904,31,
105,2,1,25,904,31,
112,2,1,55,904,31,
134,2,1,28,901,31,
164,1,1,28,901,31,
61,1,9,32,904,31,
117,1,1,30,904,31,
107,2,1,30,904,31,
123,2,1,50,904,31,
69,1,8,52,904,31,
132,2,1,42,901,31,
134,1,1,48,901,31,
101,1,1,73,901,31,
99,2,1,61,901,31,
84,2,1,29,901,31,
111,2,1,35,901,31,
103,1,1,39,901,31,
115,2,1,42,901,31,
105,1,1,42,901,31,
250,2,2,95,903,31,
350,1,1,65,901,31,
346,2,1,60,901,31,
393,1,1,38,901,31,
110,2,1,54,902,31,
416,1,2,23,904,31,
423,2,2,21,904,31,
98,1,1,73,904,31,
26,2,2,28,901,31,
35,1,2,29,901,31,
24,1,1,18,901,31,
110,2,1,33,902,31,
99,2,1,29,902,31,
105,2,1,59,903,31,
163,2,1,68,901,31,
165,1,1,72,901,31,
62,2,1,52,901,31,
103,1,1,18,901,31,
124,2,1,38,904,31,
123,2,1,52,901,31,
116,1,1,53,901,31,
106,2,1,20,901,31,
153,1,1,61,901,31,
150,2,1,59,901,31,
149,1,1,24,901,31,
100,1,1,82,904,31,
84,2,1,79,904,31,
90,2,1,22,902,31,
468,1,8,31,904,31,
306,1,8,29,904,31,
