PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
276,2,1,47,902,31,
348,1,1,41,902,31,
93,1,1,48,901,31,
116,2,1,34,901,31,
50,1,1,30,903,31,
62,1,1,63,902,31,
54,2,1,64,902,31,
116,1,1,39,902,31,
123,2,1,41,902,31,
99,2,1,28,904,31,
99,1,1,28,904,31,
190,1,1,50,903,31,
68,2,1,67,904,31,
124,2,1,34,901,31,
144,1,1,43,901,31,
100,1,1,73,901,31,
94,2,1,71,901,31,
156,1,1,40,901,31,
95,1,1,29,902,31,
147,2,1,33,902,31,
105,2,1,37,902,31,
108,1,1,37,902,31,
141,1,1,43,903,31,
208,1,1,44,903,31,
154,1,1,50,901,31,
112,2,1,49,901,31,
180,1,1,74,901,31,
167,2,1,74,901,31,
124,1,1,57,902,31,
54,2,1,25,902,31,
563,2,1,35,901,31,
621,1,1,35,901,31,
44,2,9,83,903,31,
94,1,1,55,901,31,
47,2,2,25,903,31,
113,2,1,43,902,31,
109,1,1,43,902,31,
179,2,1,37,904,31,
283,1,1,38,904,31,
236,2,1,20,904,31,
185,1,1,20,904,31,
13,1,9,41,904,31,
300,2,1,30,901,31,
374,1,2,30,901,31,
70,1,1,48,904,31,
97,2,1,44,904,31,
129,2,1,21,904,31,
100,1,1,24,904,31,
295,2,2,33,901,31,
76,2,1,80,904,31,
116,2,1,64,904,31,
102,1,1,26,902,31,
161,2,1,27,902,31,
80,2,1,56,901,31,
137,2,1,21,901,31,
142,1,1,52,901,31,
71,1,1,43,901,31,
67,2,1,42,901,31,
64,2,1,54,902,31,
70,1,1,54,902,31,
64,1,6,29,903,31,
103,2,6,26,903,31,
27,2,1,77,903,31,
91,2,2,72,903,31,
101,2,2,47,903,31,
335,2,1,55,903,31,
136,1,1,26,902,31,
140,2,1,27,902,31,
152,1,6,35,904,31,
85,2,6,25,904,31,
180,1,1,46,901,31,
187,2,1,45,901,31,
359,2,2,21,903,31,
36,2,1,37,901,31,
39,1,1,38,901,31,
44,1,1,62,904,31,
50,2,1,56,904,31,
70,1,1,58,902,31,
60,2,1,59,902,31,
384,2,2,44,901,31,
226,1,1,52,902,31,
181,2,2,58,901,31,
212,1,2,59,901,31,
181,2,2,86,901,31,
97,2,1,29,901,31,
60,1,1,72,904,31,
41,2,1,78,904,31,
305,1,1,42,902,31,
326,2,1,37,902,31,
94,1,1,64,901,31,
94,2,1,67,901,31,
138,1,1,29,901,31,
137,2,1,26,901,31,
114,2,1,42,902,31,
127,1,1,75,901,31,
146,1,1,31,904,31,
123,2,2,37,903,31,
200,1,2,34,903,31,
79,2,1,71,902,31,
194,2,1,60,902,31,
238,2,1,19,902,31,
135,2,6,19,902,31,
37,2,1,30,901,31,
69,1,1,36,901,31,
98,1,1,20,904,31,
128,1,1,55,904,31,
143,1,1,54,901,31,
105,2,1,58,901,31,
109,2,1,19,901,31,
92,2,1,76,902,31,
79,1,1,82,902,31,
108,2,1,84,904,31,
96,2,1,49,903,31,
89,2,1,19,903,31,
74,1,1,26,903,31,
112,1,1,60,902,31,
98,2,1,59,902,31,
99,2,1,40,901,31,
108,1,1,40,901,31,
92,1,1,64,901,31,
185,2,1,61,901,31,
79,2,1,43,902,31,
542,2,1,38,902,31,
527,1,1,39,902,31,
60,1,1,45,904,31,
65,2,1,43,904,31,
111,1,1,48,903,31,
76,2,1,67,902,31,
101,1,1,67,902,31,
115,2,1,64,902,31,
177,2,1,58,902,31,
32,1,9,41,902,31,
97,2,1,32,901,31,
110,1,1,38,901,31,
109,2,1,45,901,31,
112,1,1,46,901,31,
121,2,1,19,901,31,
90,2,1,21,902,31,
139,2,1,21,902,31,
142,2,1,21,902,31,
159,2,1,29,902,31,
108,2,1,20,904,31,
91,2,1,45,902,31,
116,1,1,39,902,31,
135,2,1,70,902,31,
77,1,8,47,904,31,
104,2,8,42,904,31,
110,1,8,21,904,31,
105,2,1,61,901,31,
389,1,1,42,903,31,
468,2,1,44,903,31,
475,1,1,25,903,31,
527,2,1,20,903,31,
400,1,1,19,903,31,
90,1,1,56,901,31,
100,2,1,56,901,31,
53,1,1,27,904,31,
52,2,1,27,904,31,
217,2,2,53,901,31,
107,1,1,65,901,31,
194,2,1,51,902,31,
209,1,1,54,902,31,
347,2,2,63,903,31,
513,2,2,44,903,31,
490,1,2,24,903,31,
202,2,1,94,901,31,
86,2,1,69,903,31,
60,1,1,69,903,31,
90,2,1,41,904,31,
59,1,1,68,902,31,
57,2,1,62,902,31,
121,1,1,83,901,31,
146,2,1,56,901,31,
57,2,1,81,902,31,
47,1,1,83,902,31,
158,2,1,61,902,31,
114,1,1,28,904,31,
110,2,1,28,904,31,
53,1,1,20,901,31,
82,1,1,78,902,31,
109,2,1,21,902,31,
121,2,1,19,902,31,
145,2,1,66,902,31,
14,1,1,69,903,31,
95,2,1,28,902,31,
96,1,1,28,902,31,
74,2,2,62,903,31,
8,1,1,20,904,31,
184,1,1,71,901,31,
118,1,1,32,901,31,
93,2,1,30,901,31,
123,2,8,51,904,31,
70,1,8,48,904,31,
171,2,8,53,904,31,
61,2,8,74,904,31,
99,1,8,55,904,31,
9,2,1,19,904,31,
121,1,6,53,901,31,
121,2,6,41,901,31,
101,2,1,26,904,31,
101,1,1,26,904,31,
128,2,1,35,904,31,
117,1,1,49,904,31,
131,1,1,19,904,31,
148,2,1,70,904,31,
146,2,1,50,902,31,
128,1,1,50,902,31,
91,1,1,61,901,31,
84,2,1,65,902,31,
79,1,1,73,903,31,
112,2,1,70,903,31,
120,1,1,50,902,31,
113,2,1,50,902,31,
151,1,1,20,902,31,
123,2,1,20,902,31,
154,1,1,19,902,31,
179,1,2,40,903,31,
85,2,1,50,901,31,
62,1,1,62,902,31,
57,2,1,61,902,31,
73,1,1,23,902,31,
71,1,1,20,902,31,
122,1,1,59,902,31,
188,1,1,54,902,31,
177,2,1,53,902,31,
230,1,1,25,902,31,
