PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
112,2,1,70,901,31,
115,1,1,70,901,31,
80,1,1,32,903,31,
101,2,1,33,903,31,
105,1,1,47,901,31,
128,2,1,45,901,31,
86,1,1,56,901,31,
79,2,1,55,901,31,
105,1,1,26,901,31,
104,2,1,24,901,31,
215,1,1,53,904,31,
131,1,2,60,902,31,
153,2,2,62,902,31,
96,1,1,65,901,31,
78,2,1,62,901,31,
139,2,1,51,901,31,
117,2,1,22,901,31,
108,1,1,86,902,31,
99,2,1,88,902,31,
163,1,1,72,902,31,
166,2,1,73,902,31,
119,1,1,72,902,31,
122,2,1,69,902,31,
98,2,1,60,903,31,
92,1,1,63,902,31,
87,2,1,61,902,31,
81,1,1,58,902,31,
75,2,1,58,902,31,
152,2,6,20,903,31,
125,2,1,54,901,31,
120,1,1,54,901,31,
103,1,1,35,904,31,
103,1,1,34,904,31,
103,2,1,27,903,31,
123,2,1,72,902,31,
86,1,1,30,901,31,
148,1,1,54,904,31,
131,2,1,52,904,31,
82,1,1,56,904,31,
85,2,1,55,904,31,
107,2,1,27,904,31,
206,2,1,21,904,31,
58,1,2,18,901,31,
112,2,1,29,902,31,
100,1,1,29,902,31,
104,1,1,57,901,31,
97,2,1,56,901,31,
132,2,1,27,901,31,
83,2,1,61,904,31,
117,1,1,37,904,31,
98,1,1,33,904,31,
137,2,1,39,904,31,
139,1,1,40,904,31,
137,2,2,44,904,31,
145,2,1,30,901,31,
114,1,1,30,901,31,
45,2,9,65,901,31,
127,1,1,52,901,31,
81,1,1,48,904,31,
98,1,1,49,904,31,
176,1,1,50,901,31,
180,2,1,49,901,31,
121,2,1,81,901,31,
175,1,1,50,901,31,
126,2,1,58,901,31,
116,1,1,29,904,31,
96,2,1,30,904,31,
82,1,1,51,903,31,
96,2,1,51,903,31,
56,2,1,29,901,31,
191,1,1,41,902,31,
176,2,1,45,902,31,
94,2,1,60,901,31,
101,1,1,60,901,31,
173,2,1,23,901,31,
36,1,1,53,901,31,
34,2,1,54,901,31,
50,2,1,32,901,31,
113,1,1,40,902,31,
119,2,1,39,902,31,
124,1,1,64,902,31,
113,2,1,63,902,31,
88,2,1,40,903,31,
92,1,1,36,903,31,
281,1,1,22,903,31,
383,1,1,22,903,31,
