PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
707,1,1,31,901,31,
712,2,9,30,901,31,
98,1,1,29,903,31,
99,2,1,29,903,31,
274,1,1,38,901,31,
281,2,1,38,901,31,
123,2,1,49,901,31,
99,1,1,50,901,31,
69,1,2,60,904,31,
56,1,2,28,902,31,
74,1,1,40,901,31,
106,2,1,37,901,31,
232,2,1,27,901,31,
53,2,2,63,903,31,
35,1,2,65,903,31,
97,1,2,39,903,31,
93,1,2,21,903,31,
91,1,2,61,904,31,
223,1,2,31,904,31,
57,1,2,50,903,31,
27,2,1,85,901,31,
217,1,1,69,902,31,
81,2,1,70,904,31,
102,1,1,34,901,31,
85,2,1,33,901,31,
125,1,1,39,904,31,
177,2,1,38,904,31,
95,1,1,46,904,31,
88,2,1,42,904,31,
122,1,1,23,904,31,
119,2,1,70,904,31,
133,1,1,72,904,31,
104,1,1,69,903,31,
85,2,1,26,901,31,
64,1,8,27,901,31,
38,1,2,84,901,31,
49,2,2,82,901,31,
94,2,2,80,903,31,
76,2,1,93,904,31,
101,1,1,51,902,31,
107,2,1,44,902,31,
164,2,1,20,902,31,
136,2,1,70,901,31,
165,2,1,47,902,31,
120,1,1,47,902,31,
188,1,1,53,902,31,
259,2,1,47,902,31,
204,1,1,22,902,31,
109,2,1,81,902,31,
213,2,9,23,901,31,
266,1,1,23,901,31,
85,2,1,56,904,31,
133,2,1,20,904,31,
66,1,1,56,904,31,
66,2,2,76,904,31,
366,1,1,58,904,31,
301,2,1,59,904,31,
256,1,1,37,904,31,
118,2,1,57,901,31,
141,2,1,59,901,31,
153,2,1,32,901,31,
95,1,1,59,903,31,
94,2,1,60,903,31,
173,2,1,24,903,31,
74,1,1,22,903,31,
149,1,1,47,904,31,
114,2,1,34,902,31,
115,1,1,41,902,31,
109,2,1,60,902,31,
105,1,1,51,902,31,
104,2,1,52,901,31,
94,2,2,71,901,31,
51,1,2,73,901,31,
55,2,1,60,904,31,
86,1,1,66,904,31,
110,2,1,50,902,31,
160,2,1,21,902,31,
96,1,1,43,902,31,
102,2,1,42,902,31,
85,1,1,20,903,31,
109,1,1,42,903,31,
155,2,1,42,903,31,
144,1,1,52,903,31,
81,1,1,79,904,31,
73,2,1,79,904,31,
87,2,1,53,902,31,
99,1,1,53,902,31,
169,1,1,25,902,31,
164,2,1,47,903,31,
225,2,1,48,903,31,
127,1,1,55,902,31,
125,2,1,57,902,31,
141,1,1,18,902,31,
106,1,1,69,902,31,
79,2,1,71,902,31,
190,1,1,51,901,31,
314,2,1,52,902,31,
135,2,1,55,901,31,
67,2,1,28,903,31,
63,1,1,28,903,31,
73,2,1,56,902,31,
75,1,1,56,902,31,
118,1,1,57,901,31,
96,2,1,58,901,31,
246,2,1,43,901,31,
164,2,1,80,901,31,
65,2,9,78,903,31,
93,1,1,27,902,31,
87,2,1,26,902,31,
45,2,1,18,901,31,
10,2,9,40,904,31,
232,2,1,51,903,31,
207,1,1,53,903,31,
288,2,1,18,903,31,
84,1,1,54,901,31,
107,2,1,48,901,31,
150,1,6,47,903,31,
229,2,6,43,903,31,
151,1,6,20,903,31,
117,2,1,38,901,31,
108,1,1,47,901,31,
114,2,1,43,901,31,
96,2,2,51,904,31,
81,1,1,51,904,31,
95,2,1,62,901,31,
121,1,1,63,901,31,
115,2,1,57,902,31,
103,1,2,58,903,31,
49,2,2,57,903,31,
126,2,1,61,901,31,
23,2,1,93,903,31,
114,1,1,32,903,31,
118,2,1,30,903,31,
70,1,1,68,902,31,
52,2,1,68,902,31,
213,2,1,56,902,31,
227,1,1,57,902,31,
72,2,1,30,903,31,
67,1,1,52,902,31,
62,2,1,51,902,31,
97,2,2,62,903,31,
113,2,1,29,901,31,
123,1,1,33,901,31,
136,2,1,58,902,31,
112,1,1,56,904,31,
94,2,1,56,904,31,
331,1,1,40,901,31,
317,2,1,32,901,31,
75,2,1,65,904,31,
67,2,1,43,904,31,
108,1,1,34,901,31,
90,2,1,33,901,31,
97,1,1,67,902,31,
105,2,1,61,902,31,
95,2,1,63,901,31,
124,1,1,62,901,31,
88,2,1,36,901,31,
91,1,1,36,901,31,
122,1,1,78,904,31,
181,1,1,58,903,31,
141,2,1,35,902,31,
105,1,1,29,901,31,
114,2,1,29,901,31,
80,1,1,82,904,31,
156,1,1,63,904,31,
79,2,1,68,902,31,
70,2,1,38,904,31,
86,1,1,38,904,31,
62,1,1,57,904,31,
51,2,1,54,904,31,
89,1,1,20,904,31,
73,1,6,58,901,31,
81,2,6,55,901,31,
82,1,1,59,902,31,
80,2,1,58,902,31,
14,1,1,19,904,31,
136,2,1,71,901,31,
111,1,1,60,902,31,
108,2,1,56,902,31,
177,2,1,33,902,31,
32,1,1,20,903,31,
104,2,1,74,902,31,
57,2,1,66,901,31,
55,1,1,67,901,31,
116,2,1,18,903,31,
59,2,1,69,902,31,
253,2,2,35,903,31,
115,1,1,61,904,31,
87,1,1,29,901,31,
83,2,1,30,901,31,
130,1,1,60,902,31,
104,2,1,53,902,31,
122,2,1,78,904,31,
102,1,1,55,901,31,
82,2,1,52,901,31,
90,2,1,88,901,31,
39,1,9,64,903,31,
112,2,3,71,903,31,
516,2,1,56,901,31,
108,1,1,59,904,31,
136,1,1,80,904,31,
404,1,1,36,903,31,
324,2,1,29,903,31,
28,2,1,93,903,31,
68,2,1,26,903,31,
93,1,9,28,903,31,
89,1,1,26,903,31,
91,2,1,25,903,31,
88,1,1,25,903,31,
69,1,1,63,901,31,
55,2,1,62,901,31,
113,1,1,57,902,31,
111,2,1,57,902,31,
11,1,1,60,902,31,
107,1,1,48,901,31,
119,2,1,57,902,31,
98,1,1,21,902,31,
